Date,Open,High,Low,Close,Adj Close,Volume,MA7,MA30,Volatility7,Daily_Return,EMA12,EMA26,MACD,MACD_Signal,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,Close_Lag_10,Return_Lag_10,Year,Month,DayOfWeek,Is_Quarter_End
2012-02-14,72.094284,72.794289,71.714287,72.779999,62.892056,115099600,69.55367385714285,63.5746666,2.4702459035467945,0.0136489687890402,68.23198536098552,65.34693467635257,2.885050684632944,2.149385909515404,95.12792560479902,65.37257135,3.8236097895956656,73.01979092919133,57.72535177080867,71.800003,0.0186048884435465,70.488571,0.0005069063344453,70.452858,0.0345934179766274,66.975716,0.010474895492968,65.211426,0.0076598397724545,2012,2,1,0
2012-02-15,73.465714,75.184288,70.984283,71.095711,61.4366,376530000,70.24142900000001,63.98628553333333,2.040094154491056,-0.0231421822360839,68.67255853621852,65.77276995958572,2.899788576632801,2.2994664429388836,83.42576235303102,65.86228539999999,3.901171100722386,73.66462760144476,58.05994319855522,72.779999,0.0136489687890402,71.800003,0.0186048884435465,70.488571,0.0005069063344453,68.097145,0.016743815026927,65.169998,-0.0006352874418049,2012,2,2,0
2012-02-16,70.214287,72.127144,69.51857,71.744286,61.997032,236138000,70.92265328571429,64.40899976666667,1.4898063088358704,0.0091225615564911,69.1451319921849,66.21510448109788,2.930027511087019,2.4255786565685105,83.81140103086064,66.39414255,3.9436337400604415,74.28141003012088,58.506875069879115,71.095711,-0.0231421822360839,72.779999,0.0136489687890402,71.800003,0.0186048884435465,70.452858,0.0345934179766274,65.017143,-0.002345481121543,2012,2,3,0
2012-02-17,71.872856,72.538574,71.471428,71.73143,61.985954,133951300,71.44183685714286,64.8094284,0.826730373431421,-0.0001791919707724,69.54302399338722,66.62372118620173,2.9193028071854883,2.524323486691906,82.48446785083576,66.97857115000001,3.8169247786944287,74.61242070738886,59.34472159261115,71.744286,0.0091225615564911,71.095711,-0.0231421822360839,72.779999,0.0136489687890402,70.488571,0.0005069063344453,65.668571,0.0100193267489467,2012,2,4,0
2012-02-21,72.41143,73.550003,72.017143,73.550003,63.557446,151398800,71.88428614285714,65.2496666,1.016272139991248,0.0253525267794048,70.15948230209688,67.13677909833494,3.0227032037619352,2.623999430105912,84.3960090190671,67.60314275,3.8192373285960075,75.24161740719202,59.96466809280799,71.73143,-0.0001791919707724,71.744286,0.0091225615564911,71.095711,-0.0231421822360839,71.800003,0.0186048884435465,66.281425,0.0093325313870467,2012,2,1,0
2012-02-22,73.297142,73.641426,72.724289,73.291428,63.334015,120825600,72.28469428571428,65.6844761,0.922550364947887,-0.0035156354786282,70.64132010177428,67.59267901697679,3.048641084797495,2.7089277610442286,82.91072115441493,68.26478560000001,3.582306685907321,75.42939897181465,61.10017222818537,73.550003,0.0253525267794048,71.73143,-0.0001791919707724,71.744286,0.0091225615564911,72.779999,0.0136489687890402,66.975716,0.010474895492968,2012,2,2,0
2012-02-23,73.582855,73.975716,72.785713,73.769997,63.747555,142006900,72.566122,66.12804746666667,1.0427034299704985,0.0065296722012293,71.12265500919364,68.05025812683036,3.072396882363279,2.781621585308039,84.55721804266665,68.7628569,3.6223974777239287,76.00765185544786,61.518061944552144,73.291428,-0.0035156354786282,73.550003,0.0253525267794048,71.73143,-0.0001791919707724,71.095711,-0.0231421822360839,68.097145,0.016743815026927,2012,2,3,0
2012-02-24,74.238571,74.699997,74.091431,74.629997,64.49073,103768000,72.83040742857143,66.6035712,1.30692334558708,0.0116578559709037,71.6622460847023,68.5376461915096,3.124599893192709,2.850217246884973,84.8074290227877,69.31842825,3.6278245156487032,76.5740772812974,62.06277921870259,73.769997,0.0065296722012293,73.291428,-0.0035156354786282,73.550003,0.0253525267794048,71.744286,0.0091225615564911,70.452858,0.0345934179766274,2012,2,4,0
2012-02-27,74.472855,75.5,73.754288,75.108574,64.904282,136895500,73.40367357142857,67.10057133333333,1.2992770118733383,0.0064126627259546,72.19245037936349,69.0243815847311,3.16806879463239,2.913787556434457,84.64728466351872,69.87899975,3.6121997989648595,77.10339934792972,62.65460015207029,74.629997,0.0116578559709037,73.769997,0.0065296722012293,73.291428,-0.0035156354786282,71.73143,-0.0001791919707724,70.488571,0.0005069063344453,2012,2,0,0
2012-02-28,75.422859,76.487144,75.121429,76.487144,66.095551,150096800,74.08122471428571,67.65104753333334,1.5093827896885907,0.0183543625791644,72.85317247484603,69.57717880067695,3.2759936741690865,2.9862287799813827,85.42994469288442,70.46757125,3.6849015044010422,77.83737425880209,63.09776824119792,75.108574,0.0064126627259546,74.629997,0.0116578559709037,73.769997,0.0065296722012293,73.550003,0.0253525267794048,71.800003,0.0186048884435465,2012,2,1,0
